id,x,y,id
261119775,-87.5916638,41.7944904,261119775
261137156,-87.5947384,41.7841736,261137156
261137167,-87.5949934,41.7980095,261137167
261137168,-87.5949209,41.7950922,261137168
261137169,-87.5948751,41.7932879,261137169
261137170,-87.5948357,41.79146,261137170
261137171,-87.5947984,41.789634,261137171
261137172,-87.5947465,41.7878195,261137172
261137187,-87.5947086,41.7860563,261137187
261139500,-87.5915553,41.7896618,261139500
261139501,-87.593169,41.7896475,261139501
261139504,-87.5964177,41.7896129,261139504
261139505,-87.5980298,41.7895941,261139505
261139519,-87.6049492,41.7895302,261139519
261139520,-87.6036972,41.7895401,261139520
261140613,-87.5934413,41.7980022,261140613
261140614,-87.593379,41.7951096,261140614
261140615,-87.5932701,41.793305,261140615
261140616,-87.5932551,41.7922203,261140616
261140622,-87.5930884,41.7841916,261140622
261140629,-87.5932196,41.7914739,261140629
261148583,-87.6027949,41.7979121,261148583
261148584,-87.6027605,41.7964716,261148584
261148585,-87.6027405,41.7953221,261148585
261148587,-87.603119,41.7931851,261148587
261148588,-87.603076,41.7913623,261148588
261148611,-87.6028092,41.7858999,261148611
261148612,-87.6027672,41.7840862,261148612
261157995,-87.6044301,41.7858843,261157995
261157996,-87.6043879,41.7840685,261157996
261158000,-87.6037764,41.7931794,261158000
261158001,-87.6037422,41.791352,261158001
261158030,-87.603873,41.7978952,261158030
261158031,-87.6038467,41.7968289,261158031
261158033,-87.603811,41.7953845,261158033
261160193,-87.5917555,41.7980407,261160193
261160194,-87.5917197,41.7965656,261160194
261160195,-87.5916998,41.7958301,261160195
261160197,-87.5916902,41.7955011,261160197
261160239,-87.5916684,41.7947624,261160239
261160241,-87.5916378,41.7933164,261160241
261160242,-87.5915992,41.7914937,261160242
261160243,-87.5915121,41.7878569,261160243
261160245,-87.5914978,41.78728,261160245
261160246,-87.5914798,41.786565,261160246
261160247,-87.5914665,41.7860855,261160247
261160249,-87.5914335,41.7842096,261160249
261170719,-87.5926172,41.7980278,261170719
261170720,-87.5925452,41.7956859,261170720
261176760,-87.601342,41.7932098,261176760
261176761,-87.6013038,41.7913898,261176761
261176762,-87.6012275,41.7877523,261176762
261176763,-87.6012153,41.7871734,261176763
261176765,-87.6012003,41.7864603,261176765
261176766,-87.6011868,41.7859156,261176766
261176767,-87.6011387,41.7841039,261176767
261176813,-87.6012674,41.7979275,261176813
261176814,-87.6012406,41.7964857,261176814
261176815,-87.6012165,41.7953508,261176815
261181129,-87.599673,41.7964989,261181129
261181130,-87.598101,41.7965121,261181130
261181131,-87.5965775,41.7965331,261181131
261185250,-87.6111568,41.7932114,261185250
261185255,-87.6088346,41.7922246,261185255
261185256,-87.6081353,41.7916206,261185256
261192049,-87.6049733,41.7931637,261192049
261192050,-87.6049655,41.791341,261192050
261192051,-87.6049106,41.7877027,261192051
261192054,-87.6050692,41.7968125,261192054
261192484,-87.5979528,41.7859533,261192484
261192485,-87.5979008,41.7841392,261192485
261192504,-87.59815,41.7979681,261192504
261192510,-87.5981069,41.7932495,261192510
261192511,-87.5980749,41.7914254,261192511
261192512,-87.5979926,41.7877799,261192512
261198118,-87.6073859,41.7949746,261198118
261198119,-87.6071678,41.7949691,261198119
261198121,-87.6062447,41.7949709,261198121
261202616,-87.6079753,41.7941796,261202616
261202623,-87.6075023,41.7872508,261202623
261202624,-87.6072328,41.7868915,261202624
261202625,-87.6072248,41.7865713,261202625
261202777,-87.6077909,41.7912925,261202777
261202782,-87.59646,41.7914457,261202782
261207127,-87.6069046,41.7871129,261207127
261207128,-87.6060639,41.787126,261207128
261207129,-87.5963623,41.7872257,261207129
261207133,-87.606945,41.7864058,261207133
261207134,-87.606055,41.7864145,261207134
261207135,-87.5963454,41.786507,261207135
261217303,-87.5996496,41.7953598,261217303
261217404,-87.6096736,41.78399,261217404
261217405,-87.6084877,41.7840097,261217405
261217406,-87.6072689,41.7840299,261217406
261217407,-87.6060071,41.7840509,261217407
261217408,-87.599535,41.7841214,261217408
261217409,-87.5962901,41.7841567,261217409
261219407,-87.6085354,41.7858263,261219407
261221651,-87.6076443,41.7863042,261221651
261227633,-87.5965438,41.7950739,261227633
261227636,-87.5921939,41.7953776,261227636
261266034,-87.6097209,41.7858067,261266034
261266042,-87.5963328,41.7860071,261266042
261276582,-87.6062869,41.7968001,261276582
261276584,-87.6062058,41.7931484,261276584
261276586,-87.6060765,41.7876896,261276586
261277228,-87.596502,41.7932665,261277228
261286251,-87.5966111,41.7979869,261286251
261286254,-87.5963758,41.7878006,261286254
